/RL_out X,/RL_out Y,/PC_out X,/PC_out Y
0,2.999999593139572,0,2.999999582306093
0.06,2.999998699292881,0.06,2.999998635594697
0.12,2.999995652215241,0.12,2.999995317602849
0.18,2.999985422606439,0.18,2.999983830056345
0.24,2.999952002306484,0.24,2.999945095204931
0.3,2.999848931122011,0.3,2.999821606497057
0.36,2.99956647967437,0.36,2.999471008388692
0.42,2.99893319824212,0.42,2.998653725241797
0.48,2.997824235945196,0.48,2.997159019402966
0.54,2.996227932851269,0.54,2.994912423269947
0.6000000000000001,2.994125314034207,0.6000000000000001,2.99184804102453
0.6600000000000001,2.991410068777335,0.6600000000000001,2.987792045949794
0.7200000000000002,2.987916055943371,0.7200000000000002,2.982493194244247
0.7800000000000002,2.983444221187734,0.7800000000000002,2.975673198407704
0.8400000000000003,2.977761333919275,0.8400000000000003,2.967045489702246
0.9000000000000004,2.970582964256455,0.9000000000000004,2.956316114538322
0.9600000000000004,2.961547390110325,0.9600000000000004,2.943178550561693
1.02,2.950179398631819,1.02,2.927306359222094
1.080000000000001,2.935838009954014,1.080000000000001,2.908344930425772
1.140000000000001,2.917636575539523,1.140000000000001,2.885903842633422
1.200000000000001,2.894314259541573,1.200000000000001,2.859553216022766
1.260000000000001,2.864021871563864,1.260000000000001,2.828830340250331
1.320000000000001,2.823966805164027,1.320000000000001,2.793265689051376
1.380000000000001,2.769892700917651,1.380000000000001,2.75243725454808
1.440000000000001,2.695683098911262,1.440000000000001,2.70605418640793
1.500000000000001,2.59440808803137,1.500000000000001,2.654052528371054
1.560000000000001,2.462519856578582,1.560000000000001,2.596665709839924
1.620000000000001,2.303806230167532,1.620000000000001,2.534430745387053
1.680000000000001,2.126914713978899,1.680000000000001,2.46811974559758
1.740000000000001,1.940392576831089,1.740000000000001,2.398626033983094
1.800000000000001,1.75076332017208,1.800000000000001,2.326851216722449
1.860000000000001,1.562850300602159,1.860000000000001,2.25362545768797
1.920000000000001,1.38047683359364,1.920000000000001,2.179668066903415
1.980000000000001,1.206898329313546,1.980000000000001,2.10557902889842
2.040000000000001,1.044934072218469,2.040000000000001,2.031848078104844
2.100000000000001,0.896880032410032,2.100000000000001,1.958870820333863
2.160000000000001,0.764309520491253,2.160000000000001,1.886965728103588
2.220000000000002,0.6478983339420803,2.220000000000002,1.816389160455403
2.280000000000002,0.5473984587835157,2.280000000000002,1.747347510833775
2.340000000000002,0.4617967379149195,2.340000000000002,1.680006539760416
2.400000000000002,0.389588900568584,2.400000000000002,1.614498326769078
2.460000000000002,0.3290596463897406,2.460000000000002,1.550926368672416
2.520000000000002,0.2784952782684651,2.520000000000002,1.489369320297469
2.580000000000002,0.2363112768986294,2.580000000000002,1.429883798326764
2.640000000000002,0.2011109813384656,2.640000000000002,1.372506583377533
2.700000000000002,0.1716998330076462,2.700000000000002,1.317256473431285
2.760000000000002,0.1470753397177706,2.760000000000002,1.264135967915173
2.820000000000002,0.1264060106817844,2.820000000000002,1.213132897831152
2.880000000000002,0.1090069201676951,2.880000000000002,1.164222064219663
2.940000000000002,0.09431588464108183,2.940000000000002,1.117366905545073
3,0.0818720626723784,3,1.072521184496935
