/out X,/out Y
0,2.99999912333385
0.06,2.999997122892084
0.12,2.999990078386762
0.18,2.999965583213437
0.24,2.999882023227651
0.3,2.99960813392192
0.36,2.998778582529007
0.42,2.996657838272537
0.48,2.992328856273831
0.54,2.985052759336615
0.6000000000000001,2.973845561465961
0.6600000000000001,2.956851634652279
0.7200000000000002,2.930906106109147
0.7800000000000002,2.890752668894049
0.8400000000000003,2.827593451203584
0.9000000000000004,2.729700378649907
0.9600000000000004,2.593159467154293
1.02,2.429724650456781
1.080000000000001,2.253849243960975
1.140000000000001,2.07457984512663
1.200000000000001,1.896565060492622
1.260000000000001,1.722319762150639
1.320000000000001,1.553461593289358
1.380000000000001,1.391261645518952
1.440000000000001,1.236893329285926
1.500000000000001,1.091532404362067
1.560000000000001,0.9563533881834851
1.620000000000001,0.832432664638205
1.680000000000001,0.7205797636005952
1.740000000000001,0.6211582156323566
1.800000000000001,0.5339850553370624
1.860000000000001,0.4583673377811374
1.920000000000001,0.3932553705835947
1.980000000000001,0.3374346511529449
2.040000000000001,0.2896843124097686
2.100000000000001,0.2488730911972675
2.160000000000001,0.2139999727802992
2.220000000000002,0.1841998404965986
2.280000000000002,0.1587323056475059
2.340000000000002,0.1369651438983577
2.400000000000002,0.11835794971044
2.460000000000002,0.1024480409072418
2.520000000000002,0.08883888529251627
2.580000000000002,0.07719065853923339
2.640000000000002,0.06721242079990791
2.700000000000002,0.05865548684575903
2.760000000000002,0.05130769601225454
2.820000000000002,0.04498839813683712
2.880000000000002,0.03954404451527616
2.940000000000002,0.03484431378360045
3,0.03077872205693198
